,Equity,Day,Buy/Sell,Stock,Profit/Loss,Amount,
165,1224401.672,13-04-2015,Sell,IGARASHI.NS,Profit,224401.6725,45
166,1000000,03-06-2021,Buy,BHAGERIA.NS,Nill,0,0
167,1233326.231,10-06-2021,Sell,BHAGERIA.NS,Profit,233326.2306,7
168,1000000,03-07-2019,Buy,AGROPHOS.NS,Nill,0,0
169,1203272.582,01-10-2019,Sell,AGROPHOS.NS,Profit,203272.5821,90
170,1000000,31-07-2014,Buy,KITEX.NS,Nill,0,0
171,1276657.904,21-08-2014,Sell,KITEX.NS,Profit,276657.9036,21
172,1000000,28-07-2015,Buy,LAOPALA.NS,Nill,0,0
173,1228333,06-08-2015,Sell,LAOPALA.NS,Profit,228333,9
174,1000000,25-01-2017,Buy,UCALFUEL.NS,Nill,0,0
175,1206956.332,30-03-2017,Sell,UCALFUEL.NS,Profit,206956.3323,64
176,1206956.332,20-04-2017,Buy,UCALFUEL.NS,Nill,0,0
177,1099494.061,10-08-2017,Sell,UCALFUEL.NS,Loss,107462.2717,112
178,1000000,01-03-2017,Buy,GAEL.NS,Nill,0,0
179,897373.4768,06-03-2017,Sell,GAEL.NS,Loss,102626.5232,5
180,1000000,17-05-2017,Buy,UTTAMSUGAR.NS,Nill,0,0
181,907060.7728,29-05-2017,Sell,UTTAMSUGAR.NS,Loss,92939.22722,12
182,1000000,21-04-2017,Buy,VSSL.NS,Nill,0,0
183,1203467.359,26-04-2017,Sell,VSSL.NS,Profit,203467.3589,5
184,1203467.359,30-11-2017,Buy,VSSL.NS,Nill,0,0
185,1104677.427,07-12-2017,Sell,VSSL.NS,Loss,98789.93225,7
186,1000000,25-04-2018,Buy,GRAVITA.NS,Nill,0,0
187,900879.1507,17-05-2018,Sell,GRAVITA.NS,Loss,99120.84932,22
188,1000000,12-05-2017,Buy,NITINSPIN.NS,Nill,0,0
189,892805.9947,22-05-2017,Sell,NITINSPIN.NS,Loss,107194.0053,10
190,1000000,21-06-2021,Buy,HSIL.NS,Nill,0,0
191,1000000,05-07-2016,Buy,GREENPLY.NS,Nill,0,0
192,1218990.938,01-11-2016,Sell,GREENPLY.NS,Profit,218990.9377,119
193,1000000,30-10-2017,Buy,ADORWELD.NS,Nill,0,0
194,897343.6943,01-12-2017,Sell,ADORWELD.NS,Loss,102656.3057,32
195,1000000,25-07-2016,Buy,SREINFRA.NS,Nill,0,0
196,1219801.662,30-01-2017,Sell,SREINFRA.NS,Profit,219801.6621,189
197,1000000,29-01-2021,Buy,INDIAGLYCO.NS,Nill,0,0
198,1208675.35,08-02-2021,Sell,INDIAGLYCO.NS,Profit,208675.3499,10
,,,,,,,54.77319588
