,AD_Ratio,Date,Stock1,Stock2,Stock3,Stock4,Stock5
120,0.462184874,2021-08-16 09:15:00+05:30,STAR,GRANULES,CADILAHC,BHARATFORG,IDEA
121,0.775510204,2021-08-19 09:15:00+05:30,BHARATFORG,CONCOR,JSWSTEEL,ALKEM,NMDC
122,0.775510204,2021-08-20 09:15:00+05:30,BHARATFORG,CONCOR,JSWSTEEL,ALKEM,NMDC
123,0.152317881,2021-08-23 09:15:00+05:30,ASTRAL,IRCTC,JINDALSTEL,IDEA,DIXON
124,0.705882353,2021-08-31 09:15:00+05:30,HCLTECH,IPCALAB,TECHM,IBULHSGFIN,DRREDDY
125,0.705882353,2021-09-01 09:15:00+05:30,AUBANK,CANFINHOME,ESCORTS,SRF,TATASTEEL
126,0.513043478,2021-09-06 09:15:00+05:30,M&MFIN,AUBANK,HDFCAMC,ICICIGI,GLENMARK
127,0.175675676,2021-09-07 09:15:00+05:30,METROPOLIS,CANBK,ESCORTS,DLF,ASTRAL
128,0.641509434,2021-09-09 09:15:00+05:30,TORNTPOWER,POLYCAB,HDFCAMC,AUROPHARMA,INDIAMART
129,0.487179487,2021-09-13 09:15:00+05:30,INDIAMART,BHARATFORG,MARICO,HDFCLIFE,IEX
130,0.462184874,2021-09-16 09:15:00+05:30,ZEEL,LTTS,STAR,GMRINFRA,MOTHERSUMI
131,0.722772277,2021-09-17 09:15:00+05:30,NATIONALUM,IDEA,BIOCON,JINDALSTEL,NMDC
132,0.251798561,2021-09-21 09:15:00+05:30,IDEA,POLYCAB,IRCTC,ASTRAL,IBULHSGFIN
